Alabama,35.4,1,51.2,2,15.8,10
Georgia,30.7,2,43.9,4,13.2,6
Clemson,29.9,3,45.2,3,15.2,8
Louisiana State,25.8,4,38.1,15,12.3,1
Oklahoma,25,5,51.5,1,26.5,56
Florida,24.6,6,40.9,8,16.3,11
Ohio State,24.3,7,41.3,6,17,14
Auburn,22.6,8,35.9,24,13.3,7
Michigan,21.6,9,38.2,14,16.6,13
Mississippi State,21.4,10,33.8,32,12.4,2
Wisconsin,20.1,11,42.6,5,22.5,33
Notre Dame,19.1,12,34.5,29,15.4,9
Texas A&M,18.7,13,40.9,9,22.2,32
Penn State,18.4,14,31.4,51,13,4
Washington,17.7,15,35.8,25,18.2,16
Missouri,17.5,16,39,12,21.5,29
Utah,15.4,17,35.3,27,19.9,20
South Carolina,14.9,18,38,16,23.1,36
Miami (FL),13.9,19,30.3,60,16.4,12
Oregon,13.8,20,37.5,18,23.7,40
Tennessee,12.9,21,38.7,13,25.7,49
Oklahoma State,12.8,22,41,7,28.2,69
Michigan State,12.6,23,25.1,96,12.5,3
Boise State,12.6,24,33,41,20.4,22
Iowa,12.5,25,31.8,48,19.3,18
Memphis,12.3,26,40.5,10,28.3,70
Central Florida,11.7,27,37.7,17,26,51
Florida State,10.9,28,28.9,72,18,15
Southern California,10.7,29,35.8,26,25.1,45
Virginia Tech,10.6,30,33.4,36,22.8,35
Appalachian State,10.4,31,32,46,21.5,30
Stanford,10,32,33.4,37,23.4,39
Minnesota,9.5,33,32.2,45,22.7,34
Texas Christian,9.2,34,28.4,78,19.2,17
Texas,8.9,35,36.2,23,27.3,67
Washington State,8.9,36,37.3,20,28.4,71
Kentucky,8.8,37,29.9,63,21.1,27
West Virginia,8.6,38,37.4,19,28.8,77
Mississippi,8.5,39,37.1,21,28.6,73
Baylor,8.1,40,34.2,31,26.1,52
Virginia,7.9,41,28.6,75,20.7,23
Utah State,7.6,42,31.8,47,24.2,44
Iowa State,7.2,43,28.1,80,20.9,26
Cincinnati,7.1,44,29.1,71,22,31
Nebraska,6.6,45,33.7,35,27.1,64
Indiana,6.4,46,33,40,26.6,59
North Carolina State,6.3,47,30.2,61,23.9,41
Arkansas,6.1,48,31.3,52,25.2,46
Arizona State,5.9,49,32.7,43,26.7,60
Brigham Young,5.7,50,29.8,66,24.1,43
Fresno State,5.5,51,26.8,87,21.2,28
Arizona,5.4,52,31.7,49,26.2,55
Vanderbilt,5.2,53,36.9,22,31.7,91
San Diego State,4.9,54,25.7,92,20.9,25
Texas Tech,4.8,55,35.2,28,30.4,83
Syracuse,4.6,56,30.7,59,26.1,54
Northwestern,4.2,57,24.3,100,20,21
Purdue,4.2,58,32.9,42,28.7,74
Pittsburgh,3.8,59,29.9,65,26.1,53
California,3.4,60,16.5,125,13.1,5
North Carolina,3.2,61,34.3,30,31.1,88
Wake Forest,3.1,62,29.9,64,26.7,61
UCLA,3.1,63,31.5,50,28.4,72
Kansas State,3,64,28.5,76,25.5,48
Duke,2.9,65,26.2,89,23.3,38
Temple,2.2,66,27.6,83,25.4,47
Maryland,2.1,67,29.2,69,27.2,65
Colorado,1.7,68,28.7,73,27,62
Troy,1.4,69,25.3,94,23.9,42
Arkansas State,1,70,27.6,82,26.6,58
South Florida,1,71,32.4,44,31.4,90
Boston College,0.7,72,27.7,81,27,63
Houston,0.3,73,40,11,39.7,118
